# Run number  1 on Mon 2026-05-25T12:05:54 BST
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Ic (amp)      Qc (l/min)    
 2.6865E-01    5.1093E+01    6.3001E+01    2.4254E+01    1.9243E+01    2.0235E+01    8.2070E+01    5.9932E+01    1.7954E+01    4.8993E+00    2.0156E+01    7.6002E+00    7.1292E+00   
 9.7158E-01    5.1092E+01    6.2990E+01    2.4349E+01    1.9249E+01    2.0276E+01    8.2032E+01    5.9944E+01    1.7989E+01    4.9196E+00    2.0095E+01    7.8909E+00    7.1292E+00   
 1.4718E+00    5.1088E+01    6.2990E+01    2.4376E+01    1.9243E+01    2.0318E+01    8.1990E+01    5.9946E+01    1.7992E+01    4.8993E+00    2.0176E+01    7.6214E+00    7.1292E+00   
 1.9720E+00    5.1068E+01    6.2975E+01    2.4376E+01    1.9264E+01    2.0375E+01    8.1990E+01    5.9992E+01    1.7992E+01    4.9400E+00    2.0136E+01    7.6954E+00    7.0995E+00   
 2.5466E+00    5.1062E+01    6.2966E+01    2.4283E+01    1.9170E+01    2.0440E+01    8.1948E+01    6.0032E+01    1.8017E+01    4.9196E+00    2.0340E+01    7.6214E+00    7.0697E+00   
 3.0469E+00    5.1062E+01    6.2968E+01    2.4113E+01    1.9183E+01    2.0473E+01    8.1910E+01    6.0072E+01    1.8073E+01    4.9400E+00    2.0258E+01    7.6267E+00    7.1587E+00   
 3.5472E+00    5.1068E+01    6.2952E+01    2.3912E+01    1.9167E+01    2.0473E+01    8.1904E+01    6.0072E+01    1.8089E+01    4.9196E+00    2.0299E+01    7.9121E+00    7.1292E+00   
 4.0474E+00    5.1064E+01    6.2952E+01    2.3876E+01    1.9335E+01    2.0531E+01    8.1885E+01    6.0125E+01    1.8133E+01    4.9604E+00    2.0217E+01    7.7958E+00    7.1587E+00   
 4.6434E+00    5.1082E+01    6.2946E+01    2.3870E+01    1.9185E+01    2.0581E+01    8.1895E+01    6.0161E+01    1.8174E+01    4.9808E+00    2.0238E+01    7.6637E+00    7.1587E+00   
 5.1437E+00    5.1070E+01    6.2954E+01    2.3870E+01    1.9267E+01    2.0642E+01    8.1895E+01    6.0183E+01    1.8174E+01    4.9604E+00    2.0156E+01    7.6267E+00    7.0995E+00   
 5.6440E+00    5.1081E+01    6.2970E+01    2.3844E+01    1.9271E+01    2.0678E+01    8.1908E+01    6.0185E+01    1.8219E+01    4.9604E+00    2.0176E+01    7.7324E+00    7.0697E+00   
 6.1442E+00    5.1081E+01    6.2969E+01    2.3846E+01    1.9271E+01    2.0728E+01    8.1934E+01    6.0185E+01    1.8239E+01    4.9604E+00    2.0115E+01    7.6161E+00    7.1292E+00   
 6.7232E+00    5.1081E+01    6.2953E+01    2.3890E+01    1.9362E+01    2.0728E+01    8.1949E+01    6.0219E+01    1.8275E+01    4.9604E+00    2.0217E+01    7.6637E+00    7.1587E+00   
 7.2234E+00    5.1063E+01    6.2965E+01    2.3905E+01    1.9348E+01    2.0767E+01    8.1968E+01    6.0268E+01    1.8322E+01    4.9808E+00    2.0197E+01    7.6742E+00    7.1587E+00   
 7.7238E+00    5.1064E+01    6.2965E+01    2.3905E+01    1.9426E+01    2.0794E+01    8.1993E+01    6.0269E+01    1.8306E+01    4.9604E+00    2.0136E+01    7.6478E+00    7.1587E+00   
