# Run number  2 on Mon 2026-05-25T11:05:26 BST
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Ic (amp)      Qc (l/min)    
 2.8660E-01    4.9524E+01    5.6852E+01    2.3993E+01    1.8547E+01    2.0347E+01    7.3270E+01    5.4928E+01    1.7827E+01    4.8178E+00    1.7831E+01    7.0875E+00    1.2143E+01   
 1.0348E+00    4.9534E+01    5.6862E+01    2.4015E+01    1.8650E+01    2.0365E+01    7.3307E+01    5.4952E+01    1.7843E+01    4.8585E+00    1.7607E+01    7.2461E+00    1.2195E+01   
 1.5350E+00    4.9545E+01    5.6876E+01    2.4029E+01    1.8666E+01    2.0384E+01    7.3324E+01    5.4941E+01    1.7843E+01    4.8993E+00    1.7709E+01    7.0875E+00    1.2195E+01   
 2.0353E+00    4.9550E+01    5.6887E+01    2.3972E+01    1.8595E+01    2.0392E+01    7.3339E+01    5.4939E+01    1.7864E+01    4.8585E+00    1.7729E+01    7.0400E+00    1.2178E+01   
 2.5397E+00    4.9550E+01    5.6894E+01    2.3972E+01    1.8641E+01    2.0409E+01    7.3339E+01    5.4939E+01    1.7900E+01    4.8585E+00    1.7709E+01    7.2197E+00    1.2178E+01   
 3.0400E+00    4.9554E+01    5.6890E+01    2.3919E+01    1.8638E+01    2.0414E+01    7.3329E+01    5.4942E+01    1.7903E+01    4.8585E+00    1.7749E+01    7.0453E+00    1.2143E+01   
 3.5403E+00    4.9563E+01    5.6892E+01    2.3936E+01    1.8635E+01    2.0414E+01    7.3314E+01    5.4951E+01    1.7928E+01    4.8993E+00    1.7770E+01    7.0453E+00    1.2143E+01   
 4.0406E+00    4.9561E+01    5.6892E+01    2.3955E+01    1.8635E+01    2.0422E+01    7.3293E+01    5.4962E+01    1.7928E+01    4.8789E+00    1.7688E+01    7.0453E+00    1.2178E+01   
 4.6126E+00    4.9555E+01    5.6902E+01    2.4004E+01    1.8598E+01    2.0421E+01    7.3292E+01    5.4962E+01    1.7941E+01    4.8585E+00    1.7811E+01    7.2778E+00    1.2195E+01   
 5.1130E+00    4.9554E+01    5.6921E+01    2.3979E+01    1.8667E+01    2.0410E+01    7.3292E+01    5.4961E+01    1.7959E+01    4.8585E+00    1.7851E+01    7.0558E+00    1.2143E+01   
 5.6133E+00    4.9554E+01    5.6915E+01    2.3979E+01    1.8699E+01    2.0419E+01    7.3305E+01    5.4976E+01    1.8007E+01    4.8789E+00    1.7851E+01    7.0875E+00    1.2126E+01   
