# Run number  1 on Mon 2026-05-25T12:05:49 BST
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Ic (amp)      Qc (l/min)    
 3.0339E-01    5.1114E+01    6.1995E+01    2.4443E+01    1.9715E+01    1.9172E+01    8.0837E+01    5.9486E+01    1.9172E+01    5.0623E+00    1.9687E+01    7.6637E+00    7.9942E+00   
 1.0089E+00    5.1124E+01    6.1997E+01    2.4339E+01    1.9730E+01    1.8976E+01    8.0811E+01    5.9459E+01    1.9175E+01    5.0826E+00    1.9952E+01    7.6372E+00    8.0730E+00   
 1.5091E+00    5.1124E+01    6.2004E+01    2.4279E+01    1.9763E+01    1.8783E+01    8.0761E+01    5.9391E+01    1.9174E+01    5.0623E+00    1.9809E+01    7.6848E+00    8.0730E+00   
 2.0094E+00    5.1128E+01    6.2024E+01    2.4207E+01    1.9763E+01    1.8783E+01    8.0729E+01    5.9391E+01    1.9150E+01    5.0623E+00    1.9809E+01    7.5738E+00    8.0468E+00   
 2.5723E+00    5.1126E+01    6.2038E+01    2.4139E+01    1.9771E+01    1.8609E+01    8.0672E+01    5.9358E+01    1.9122E+01    5.0419E+00    1.9769E+01    7.7852E+00    8.0205E+00   
 3.0726E+00    5.1137E+01    6.2057E+01    2.4166E+01    1.9775E+01    1.8458E+01    8.0647E+01    5.9331E+01    1.9073E+01    5.0826E+00    2.0013E+01    7.7535E+00    7.9942E+00   
 3.5729E+00    5.1133E+01    6.2057E+01    2.4166E+01    1.9764E+01    1.8312E+01    8.0647E+01    5.9294E+01    1.9073E+01    5.0419E+00    1.9891E+01    7.7007E+00    8.0205E+00   
 4.0732E+00    5.1122E+01    6.2065E+01    2.4061E+01    1.9816E+01    1.8170E+01    8.0606E+01    5.9260E+01    1.9068E+01    5.0419E+00    1.9891E+01    7.8434E+00    7.9942E+00   
 4.6850E+00    5.1125E+01    6.2091E+01    2.3993E+01    1.9755E+01    1.8057E+01    8.0583E+01    5.9205E+01    1.9019E+01    5.0419E+00    1.9870E+01    7.5897E+00    7.9942E+00   
 5.1855E+00    5.1125E+01    6.2108E+01    2.3937E+01    1.9698E+01    1.8057E+01    8.0560E+01    5.9205E+01    1.8987E+01    5.0623E+00    2.0013E+01    7.8539E+00    8.0205E+00   
 5.6859E+00    5.1134E+01    6.2145E+01    2.3941E+01    1.9714E+01    1.7939E+01    8.0530E+01    5.9158E+01    1.8935E+01    5.0623E+00    1.9870E+01    7.6795E+00    7.9678E+00   
 6.1862E+00    5.1154E+01    6.2145E+01    2.3945E+01    1.9735E+01    1.7833E+01    8.0502E+01    5.9103E+01    1.8891E+01    5.0215E+00    2.0136E+01    7.5949E+00    8.0205E+00   
 6.7568E+00    5.1140E+01    6.2187E+01    2.3940E+01    1.9804E+01    1.7735E+01    8.0516E+01    5.9044E+01    1.8907E+01    5.0419E+00    2.0136E+01    7.5949E+00    8.0205E+00   
 7.2571E+00    5.1134E+01    6.2202E+01    2.3940E+01    1.9745E+01    1.7640E+01    8.0500E+01    5.8958E+01    1.8846E+01    5.0419E+00    2.0115E+01    7.6689E+00    7.9678E+00   
 7.7574E+00    5.1134E+01    6.2205E+01    2.3935E+01    1.9685E+01    1.7564E+01    8.0524E+01    5.8915E+01    1.8797E+01    5.0011E+00    1.9891E+01    7.7007E+00    8.0205E+00   
 8.2578E+00    5.1147E+01    6.2244E+01    2.3931E+01    1.9685E+01    1.7564E+01    8.0557E+01    5.8915E+01    1.8760E+01    5.0011E+00    2.0136E+01    7.5949E+00    8.0205E+00   
 8.8531E+00    5.1156E+01    6.2259E+01    2.3904E+01    1.9705E+01    1.7463E+01    8.0556E+01    5.8818E+01    1.8684E+01    5.0011E+00    2.0034E+01    7.7852E+00    7.9942E+00   
 9.3534E+00    5.1153E+01    6.2259E+01    2.3920E+01    1.9654E+01    1.7392E+01    8.0579E+01    5.8737E+01    1.8650E+01    5.0011E+00    2.0034E+01    7.6002E+00    8.0205E+00   
 9.8538E+00    5.1124E+01    6.2253E+01    2.3904E+01    1.9647E+01    1.7304E+01    8.0579E+01    5.8663E+01    1.8650E+01    4.9604E+00    1.9972E+01    7.8909E+00    8.0205E+00   
 1.0354E+01    5.1127E+01    6.2279E+01    2.3947E+01    1.9657E+01    1.7226E+01    8.0616E+01    5.8590E+01    1.8596E+01    4.9604E+00    1.9993E+01    7.5897E+00    8.0205E+00   
 1.0950E+01    5.1120E+01    6.2303E+01    2.3978E+01    1.9591E+01    1.7135E+01    8.0621E+01    5.8515E+01    1.8501E+01    4.9400E+00    1.9891E+01    7.6531E+00    7.9942E+00   
 1.1450E+01    5.1120E+01    6.2315E+01    2.3987E+01    1.9587E+01    1.7135E+01    8.0650E+01    5.8515E+01    1.8457E+01    4.9808E+00    2.0217E+01    7.7112E+00    8.0205E+00   
