# Run number  1 on Mon 2026-05-25T11:05:22 BST
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Ic (amp)      Qc (l/min)    
 3.2731E-01    5.0662E+01    6.0463E+01    2.4081E+01    1.9176E+01    2.0743E+01    7.8431E+01    5.8058E+01    1.8385E+01    5.0011E+00    1.9157E+01    7.3941E+00    8.9411E+00   
 9.1990E-01    5.0672E+01    6.0480E+01    2.4110E+01    1.9234E+01    2.0749E+01    7.8450E+01    5.8065E+01    1.8397E+01    4.9604E+00    1.9320E+01    7.6848E+00    8.9411E+00   
 1.4201E+00    5.0676E+01    6.0494E+01    2.4125E+01    1.9229E+01    2.0778E+01    7.8450E+01    5.8051E+01    1.8397E+01    4.9808E+00    1.9197E+01    7.5474E+00    8.9646E+00   
 1.9204E+00    5.0690E+01    6.0515E+01    2.4211E+01    1.9228E+01    2.0777E+01    7.8488E+01    5.8032E+01    1.8415E+01    4.9808E+00    1.9177E+01    7.6689E+00    8.9174E+00   
 2.4206E+00    5.0690E+01    6.0522E+01    2.4165E+01    1.9205E+01    2.0761E+01    7.8485E+01    5.8034E+01    1.8415E+01    4.9808E+00    1.9157E+01    7.6531E+00    8.9174E+00   
 2.9209E+00    5.0677E+01    6.0529E+01    2.3966E+01    1.9205E+01    2.0787E+01    7.8495E+01    5.8034E+01    1.8443E+01    4.9808E+00    1.9177E+01    7.5474E+00    8.9411E+00   
 3.4212E+00    5.0684E+01    6.0520E+01    2.4043E+01    1.9227E+01    2.0816E+01    7.8512E+01    5.8065E+01    1.8449E+01    4.9808E+00    1.9279E+01    7.6848E+00    8.9646E+00   
 3.9214E+00    5.0704E+01    6.0520E+01    2.4043E+01    1.9229E+01    2.0828E+01    7.8512E+01    5.8046E+01    1.8449E+01    4.9808E+00    1.9177E+01    7.4470E+00    8.9174E+00   
 4.4218E+00    5.0690E+01    6.0521E+01    2.4153E+01    1.9249E+01    2.0839E+01    7.8539E+01    5.8061E+01    1.8496E+01    5.0011E+00    1.9157E+01    7.4734E+00    8.9411E+00   
 4.9221E+00    5.0690E+01    6.0535E+01    2.4210E+01    1.9242E+01    2.0839E+01    7.8550E+01    5.8067E+01    1.8498E+01    5.0011E+00    1.9197E+01    7.6055E+00    8.9646E+00   
