# Run number  1 on Mon 2026-05-25T12:05:54 BST
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Ic (amp)      Qc (l/min)    
 3.0661E-01    5.0878E+01    5.8503E+01    2.4152E+01    1.8838E+01    1.6312E+01    7.6634E+01    5.4008E+01    1.7321E+01    4.7974E+00    1.8443E+01    7.2144E+00    1.2126E+01   
 8.1176E-01    5.0878E+01    5.8503E+01    2.4202E+01    1.8779E+01    1.6397E+01    7.6653E+01    5.3982E+01    1.7308E+01    4.7770E+00    1.8524E+01    7.2355E+00    1.2109E+01   
 1.4033E+00    5.0861E+01    5.8516E+01    2.4241E+01    1.8779E+01    1.6397E+01    7.6682E+01    5.3938E+01    1.7277E+01    4.7567E+00    1.8545E+01    7.4470E+00    1.2109E+01   
 1.9038E+00    5.0876E+01    5.8508E+01    2.4313E+01    1.8641E+01    1.6473E+01    7.6688E+01    5.3915E+01    1.7277E+01    4.7770E+00    1.8484E+01    7.3307E+00    1.2109E+01   
 2.4041E+00    5.0876E+01    5.8488E+01    2.4351E+01    1.8688E+01    1.6565E+01    7.6701E+01    5.3887E+01    1.7256E+01    4.7159E+00    1.8361E+01    7.2725E+00    1.2126E+01   
 2.9043E+00    5.0878E+01    5.8489E+01    2.4351E+01    1.8582E+01    1.6657E+01    7.6701E+01    5.3889E+01    1.7231E+01    4.7567E+00    1.8484E+01    7.2620E+00    1.2091E+01   
 3.4045E+00    5.0873E+01    5.8468E+01    2.4342E+01    1.8582E+01    1.6753E+01    7.6708E+01    5.3889E+01    1.7198E+01    4.7363E+00    1.8463E+01    7.1827E+00    1.2143E+01   
 3.9049E+00    5.0881E+01    5.8468E+01    2.4358E+01    1.8582E+01    1.6753E+01    7.6744E+01    5.3897E+01    1.7170E+01    4.7363E+00    1.8463E+01    7.3148E+00    1.2126E+01   
 4.4052E+00    5.0899E+01    5.8463E+01    2.4434E+01    1.8629E+01    1.6866E+01    7.6782E+01    5.3929E+01    1.7170E+01    4.7159E+00    1.8382E+01    7.4311E+00    1.2109E+01   
 4.9056E+00    5.0899E+01    5.8455E+01    2.4434E+01    1.8535E+01    1.6959E+01    7.6788E+01    5.3911E+01    1.7168E+01    4.7159E+00    1.8341E+01    7.4047E+00    1.2074E+01   
 5.4059E+00    5.0909E+01    5.8459E+01    2.4483E+01    1.8664E+01    1.7071E+01    7.6788E+01    5.3939E+01    1.7174E+01    4.7363E+00    1.8545E+01    7.4258E+00    1.2126E+01   
 5.9063E+00    5.0905E+01    5.8446E+01    2.4507E+01    1.8553E+01    1.7183E+01    7.6804E+01    5.3939E+01    1.7173E+01    4.7363E+00    1.8320E+01    7.1668E+00    1.2143E+01   
 6.4065E+00    5.0930E+01    5.8461E+01    2.4407E+01    1.8568E+01    1.7183E+01    7.6783E+01    5.3972E+01    1.7179E+01    4.7159E+00    1.8443E+01    7.1563E+00    1.2126E+01   
 6.9068E+00    5.0941E+01    5.8451E+01    2.4307E+01    1.8572E+01    1.7279E+01    7.6792E+01    5.3992E+01    1.7179E+01    4.7363E+00    1.8524E+01    7.2303E+00    1.2126E+01   
 7.4071E+00    5.0956E+01    5.8434E+01    2.4323E+01    1.8506E+01    1.7398E+01    7.6790E+01    5.4033E+01    1.7162E+01    4.7159E+00    1.8443E+01    7.2514E+00    1.2143E+01   
 7.9074E+00    5.0943E+01    5.8438E+01    2.4282E+01    1.8584E+01    1.7480E+01    7.6790E+01    5.4064E+01    1.7180E+01    4.7159E+00    1.8300E+01    7.3994E+00    1.2143E+01   
 8.4076E+00    5.0959E+01    5.8411E+01    2.4227E+01    1.8558E+01    1.7591E+01    7.6818E+01    5.4064E+01    1.7184E+01    4.7363E+00    1.8259E+01    7.3994E+00    1.2126E+01   
 8.9105E+00    5.0949E+01    5.8411E+01    2.4178E+01    1.8558E+01    1.7591E+01    7.6838E+01    5.4113E+01    1.7185E+01    4.7363E+00    1.8443E+01    7.1457E+00    1.2109E+01   
 9.4108E+00    5.0956E+01    5.8406E+01    2.4115E+01    1.8595E+01    1.7711E+01    7.6855E+01    5.4173E+01    1.7201E+01    4.7159E+00    1.8422E+01    7.3941E+00    1.2109E+01   
 9.9112E+00    5.0956E+01    5.8400E+01    2.4115E+01    1.8518E+01    1.7823E+01    7.6855E+01    5.4231E+01    1.7217E+01    4.7363E+00    1.8484E+01    7.3994E+00    1.2109E+01   
 1.0412E+01    5.0955E+01    5.8360E+01    2.4104E+01    1.8683E+01    1.7929E+01    7.6892E+01    5.4245E+01    1.7259E+01    4.7159E+00    1.8280E+01    7.3994E+00    1.2091E+01   
 1.1002E+01    5.0946E+01    5.8371E+01    2.4078E+01    1.8649E+01    1.8019E+01    7.6913E+01    5.4293E+01    1.7243E+01    4.7159E+00    1.8259E+01    7.3730E+00    1.2109E+01   
 1.1502E+01    5.0959E+01    5.8371E+01    2.4058E+01    1.8649E+01    1.8137E+01    7.6919E+01    5.4366E+01    1.7296E+01    4.7159E+00    1.8280E+01    7.2778E+00    1.2143E+01   
 1.2002E+01    5.0948E+01    5.8350E+01    2.4115E+01    1.8582E+01    1.8137E+01    7.6957E+01    5.4431E+01    1.7299E+01    4.7159E+00    1.8218E+01    7.1404E+00    1.2109E+01   
