# Run number  3 on Mon 2026-05-25T12:05:40 BST
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Ic (amp)      Qc (l/min)    
 2.9927E-01    5.1860E+01    5.9218E+01    2.4307E+01    1.9234E+01    2.0947E+01    7.8625E+01    5.7333E+01    1.8391E+01    4.9400E+00    1.8688E+01    7.3307E+00    1.2195E+01   
 1.0103E+00    5.1866E+01    5.9220E+01    2.4249E+01    1.9211E+01    2.0962E+01    7.8669E+01    5.7330E+01    1.8415E+01    4.9808E+00    1.8708E+01    7.3624E+00    1.2178E+01   
 1.5105E+00    5.1874E+01    5.9222E+01    2.4203E+01    1.9242E+01    2.0991E+01    7.8704E+01    5.7337E+01    1.8436E+01    4.9400E+00    1.8769E+01    7.5368E+00    1.2178E+01   
 2.0108E+00    5.1874E+01    5.9246E+01    2.4206E+01    1.9239E+01    2.1022E+01    7.8696E+01    5.7326E+01    1.8436E+01    4.9808E+00    1.8708E+01    7.2937E+00    1.2195E+01   
 2.5841E+00    5.1865E+01    5.9238E+01    2.4206E+01    1.9304E+01    2.1057E+01    7.8696E+01    5.7325E+01    1.8482E+01    4.9400E+00    1.8871E+01    7.4839E+00    1.2161E+01   
 3.0844E+00    5.1876E+01    5.9252E+01    2.4258E+01    1.9287E+01    2.1088E+01    7.8692E+01    5.7340E+01    1.8517E+01    4.9808E+00    1.8871E+01    7.5685E+00    1.2143E+01   
 3.5847E+00    5.1879E+01    5.9252E+01    2.4289E+01    1.9262E+01    2.1091E+01    7.8649E+01    5.7325E+01    1.8533E+01    4.9808E+00    1.8769E+01    7.3677E+00    1.2178E+01   
 4.0849E+00    5.1877E+01    5.9255E+01    2.4264E+01    1.9262E+01    2.1091E+01    7.8634E+01    5.7357E+01    1.8553E+01    4.9400E+00    1.8769E+01    7.4945E+00    1.2178E+01   
 4.6884E+00    5.1879E+01    5.9259E+01    2.4296E+01    1.9273E+01    2.1094E+01    7.8610E+01    5.7312E+01    1.8590E+01    4.9604E+00    1.8891E+01    7.3254E+00    1.2161E+01   
 5.1887E+00    5.1879E+01    5.9275E+01    2.4428E+01    1.9231E+01    2.1123E+01    7.8593E+01    5.7315E+01    1.8590E+01    4.9604E+00    1.8891E+01    7.3201E+00    1.2178E+01   
 5.6890E+00    5.1888E+01    5.9287E+01    2.4428E+01    1.9196E+01    2.1154E+01    7.8593E+01    5.7326E+01    1.8635E+01    4.9808E+00    1.8810E+01    7.3042E+00    1.2143E+01   
 6.1893E+00    5.1893E+01    5.9298E+01    2.4359E+01    1.9249E+01    2.1181E+01    7.8571E+01    5.7334E+01    1.8664E+01    4.9808E+00    1.8728E+01    7.3042E+00    1.2178E+01   
 6.7771E+00    5.1885E+01    5.9298E+01    2.4339E+01    1.9264E+01    2.1197E+01    7.8561E+01    5.7334E+01    1.8671E+01    5.0011E+00    1.8790E+01    7.3042E+00    1.2195E+01   
 7.2775E+00    5.1888E+01    5.9305E+01    2.4302E+01    1.9264E+01    2.1197E+01    7.8582E+01    5.7354E+01    1.8703E+01    5.0011E+00    1.8688E+01    7.2884E+00    1.2178E+01   
 7.7780E+00    5.1869E+01    5.9291E+01    2.4256E+01    1.9344E+01    2.1212E+01    7.8591E+01    5.7340E+01    1.8730E+01    4.9808E+00    1.8688E+01    7.3095E+00    1.2161E+01   
 8.2783E+00    5.1869E+01    5.9307E+01    2.4256E+01    1.9386E+01    2.1228E+01    7.8631E+01    5.7373E+01    1.8730E+01    5.0011E+00    1.8912E+01    7.3042E+00    1.2143E+01   
 8.8570E+00    5.1876E+01    5.9298E+01    2.4228E+01    1.9349E+01    2.1267E+01    7.8645E+01    5.7409E+01    1.8771E+01    5.0215E+00    1.8749E+01    7.3095E+00    1.2213E+01   
 9.3573E+00    5.1884E+01    5.9314E+01    2.4195E+01    1.9364E+01    2.1282E+01    7.8681E+01    5.7412E+01    1.8787E+01    5.0011E+00    1.8830E+01    7.4258E+00    1.2178E+01   
 9.8576E+00    5.1872E+01    5.9299E+01    2.4074E+01    1.9348E+01    2.1296E+01    7.8675E+01    5.7397E+01    1.8789E+01    5.0011E+00    1.8871E+01    7.3360E+00    1.2195E+01   
 1.0358E+01    5.1877E+01    5.9310E+01    2.4077E+01    1.9349E+01    2.1296E+01    7.8700E+01    5.7406E+01    1.8827E+01    5.0215E+00    1.8851E+01    7.3465E+00    1.2161E+01   
 1.0937E+01    5.1864E+01    5.9287E+01    2.4062E+01    1.9256E+01    2.1271E+01    7.8684E+01    5.7375E+01    1.8803E+01    5.0011E+00    1.8708E+01    7.3677E+00    1.2161E+01   
 1.1438E+01    5.1864E+01    5.9299E+01    2.4062E+01    1.9322E+01    2.1300E+01    7.8678E+01    5.7393E+01    1.8803E+01    5.0215E+00    1.8708E+01    7.4945E+00    1.2178E+01   
 1.1938E+01    5.1866E+01    5.9313E+01    2.4046E+01    1.9277E+01    2.1310E+01    7.8678E+01    5.7402E+01    1.8814E+01    5.0215E+00    1.8891E+01    7.3307E+00    1.2195E+01   
 1.2438E+01    5.1875E+01    5.9305E+01    2.4131E+01    1.9432E+01    2.1312E+01    7.8672E+01    5.7402E+01    1.8844E+01    5.0215E+00    1.8851E+01    7.4047E+00    1.2213E+01   
 1.3018E+01    5.1883E+01    5.9305E+01    2.4198E+01    1.9432E+01    2.1301E+01    7.8621E+01    5.7364E+01    1.8816E+01    5.0215E+00    1.8790E+01    7.5897E+00    1.2195E+01   
 1.3518E+01    5.1879E+01    5.9328E+01    2.4212E+01    1.9354E+01    2.1301E+01    7.8613E+01    5.7378E+01    1.8845E+01    5.0011E+00    1.8749E+01    7.5844E+00    1.2195E+01   
 1.4019E+01    5.1879E+01    5.9334E+01    2.4240E+01    1.9412E+01    2.1290E+01    7.8588E+01    5.7400E+01    1.8845E+01    5.0419E+00    1.8728E+01    7.3518E+00    1.2161E+01   
 1.4519E+01    5.1879E+01    5.9332E+01    2.4240E+01    1.9406E+01    2.1278E+01    7.8588E+01    5.7406E+01    1.8853E+01    5.0215E+00    1.8830E+01    7.4311E+00    1.2161E+01   
 1.5106E+01    5.1874E+01    5.9344E+01    2.4245E+01    1.9496E+01    2.1255E+01    7.8595E+01    5.7416E+01    1.8874E+01    5.0215E+00    1.8830E+01    7.3254E+00    1.2161E+01   
 1.5606E+01    5.1898E+01    5.9357E+01    2.4141E+01    1.9450E+01    2.1228E+01    7.8591E+01    5.7416E+01    1.8898E+01    5.0215E+00    1.8810E+01    7.5738E+00    1.2195E+01   
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Ic (amp)      Qc (l/min)    
 1.6107E+01    5.1890E+01    5.9357E+01    2.4195E+01    1.9450E+01    2.1228E+01    7.8599E+01    5.7411E+01    1.8927E+01    5.0011E+00    1.8769E+01    7.4311E+00    1.2178E+01   
 1.6607E+01    5.1889E+01    5.9353E+01    2.4217E+01    1.9533E+01    2.1194E+01    7.8609E+01    5.7424E+01    1.8949E+01    5.0011E+00    1.8769E+01    7.5579E+00    1.2178E+01   
 1.7186E+01    5.1882E+01    5.9378E+01    2.4145E+01    1.9537E+01    2.1115E+01    7.8615E+01    5.7423E+01    1.8949E+01    5.0011E+00    1.8851E+01    7.5791E+00    1.2126E+01   
 1.7687E+01    5.1897E+01    5.9387E+01    2.4160E+01    1.9577E+01    2.1020E+01    7.8615E+01    5.7432E+01    1.8977E+01    5.0419E+00    1.8790E+01    7.3254E+00    1.2161E+01   
 1.8187E+01    5.1913E+01    5.9394E+01    2.4126E+01    1.9591E+01    2.0744E+01    7.8636E+01    5.7454E+01    1.8995E+01    5.0419E+00    1.8871E+01    7.3624E+00    1.2178E+01   
 1.8687E+01    5.1918E+01    5.9394E+01    2.4171E+01    1.9632E+01    2.0320E+01    7.8648E+01    5.7454E+01    1.9002E+01    5.0623E+00    1.8728E+01    7.4364E+00    1.2195E+01   
 1.9275E+01    5.1909E+01    5.9385E+01    2.4327E+01    1.9632E+01    2.0320E+01    7.8665E+01    5.7467E+01    1.9055E+01    5.0215E+00    1.8769E+01    7.5738E+00    1.2178E+01   
 1.9775E+01    5.1898E+01    5.9372E+01    2.4445E+01    1.9602E+01    1.9932E+01    7.8688E+01    5.7478E+01    1.9083E+01    5.0419E+00    1.8769E+01    7.4522E+00    1.2213E+01   
