# Run number  5 on Mon 2026-05-25T12:05:41 BST
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Ic (amp)      Qc (l/min)    
 2.9315E-01    5.4562E+01    6.1783E+01    2.4164E+01    1.9709E+01    2.1393E+01    8.1181E+01    5.9402E+01    1.8952E+01    5.0623E+00    2.0013E+01    7.5897E+00    1.2230E+01   
 9.6324E-01    5.4550E+01    6.1796E+01    2.4241E+01    1.9792E+01    2.1413E+01    8.1176E+01    5.9398E+01    1.8982E+01    5.1030E+00    1.9932E+01    7.7641E+00    1.2195E+01   
 1.4634E+00    5.4550E+01    6.1805E+01    2.4234E+01    1.9732E+01    2.1413E+01    8.1149E+01    5.9407E+01    1.8982E+01    5.0623E+00    1.9932E+01    7.5844E+00    1.2195E+01   
 1.9637E+00    5.4572E+01    6.1805E+01    2.4177E+01    1.9732E+01    2.1436E+01    8.1180E+01    5.9429E+01    1.8997E+01    5.1030E+00    1.9932E+01    7.5897E+00    1.2161E+01   
 2.4640E+00    5.4558E+01    6.1790E+01    2.4140E+01    1.9792E+01    2.1447E+01    8.1167E+01    5.9429E+01    1.8994E+01    5.0826E+00    1.9789E+01    7.8064E+00    1.2178E+01   
 2.9642E+00    5.4566E+01    6.1830E+01    2.4140E+01    1.9772E+01    2.1471E+01    8.1167E+01    5.9444E+01    1.9013E+01    5.1030E+00    1.9850E+01    7.5791E+00    1.2213E+01   
 3.4647E+00    5.4566E+01    6.1827E+01    2.4173E+01    1.9768E+01    2.1492E+01    8.1208E+01    5.9450E+01    1.9045E+01    5.1030E+00    1.9952E+01    7.8539E+00    1.2178E+01   
 3.9649E+00    5.4556E+01    6.1832E+01    2.4219E+01    1.9791E+01    2.1492E+01    8.1217E+01    5.9441E+01    1.9045E+01    5.0826E+00    1.9809E+01    7.5844E+00    1.2195E+01   
 4.4652E+00    5.4564E+01    6.1823E+01    2.4220E+01    1.9776E+01    2.1500E+01    8.1255E+01    5.9462E+01    1.9047E+01    5.1234E+00    1.9870E+01    7.8539E+00    1.2213E+01   
 4.9654E+00    5.4550E+01    6.1823E+01    2.4228E+01    1.9794E+01    2.1511E+01    8.1282E+01    5.9462E+01    1.9079E+01    5.0826E+00    1.9809E+01    7.8592E+00    1.2230E+01   
 5.4657E+00    5.4558E+01    6.1838E+01    2.4228E+01    1.9759E+01    2.1512E+01    8.1268E+01    5.9489E+01    1.9076E+01    5.1030E+00    1.9830E+01    7.8275E+00    1.2195E+01   
 5.9660E+00    5.4558E+01    6.1840E+01    2.4177E+01    1.9783E+01    2.1508E+01    8.1286E+01    5.9504E+01    1.9113E+01    5.1030E+00    1.9911E+01    7.6689E+00    1.2230E+01   
 6.4664E+00    5.4571E+01    6.1852E+01    2.4273E+01    1.9841E+01    2.1508E+01    8.1309E+01    5.9539E+01    1.9113E+01    5.1234E+00    2.0034E+01    7.5949E+00    1.2230E+01   
 6.9667E+00    5.4566E+01    6.1875E+01    2.4425E+01    1.9841E+01    2.1520E+01    8.1307E+01    5.9542E+01    1.9135E+01    5.1030E+00    1.9850E+01    7.6267E+00    1.2195E+01   
 7.4670E+00    5.4579E+01    6.1875E+01    2.4390E+01    1.9870E+01    2.1505E+01    8.1305E+01    5.9542E+01    1.9192E+01    5.1234E+00    1.9870E+01    7.6055E+00    1.2213E+01   
 7.9673E+00    5.4591E+01    6.1876E+01    2.4390E+01    1.9811E+01    2.1499E+01    8.1305E+01    5.9558E+01    1.9206E+01    5.0826E+00    1.9911E+01    7.7588E+00    1.2178E+01   
 8.4676E+00    5.4591E+01    6.1882E+01    2.4318E+01    1.9898E+01    2.1463E+01    8.1318E+01    5.9548E+01    1.9206E+01    5.0826E+00    2.0054E+01    7.7482E+00    1.2213E+01   
 8.9751E+00    5.4601E+01    6.1883E+01    2.4259E+01    1.9847E+01    2.1463E+01    8.1321E+01    5.9537E+01    1.9244E+01    5.0826E+00    1.9911E+01    7.6954E+00    1.2195E+01   
 9.4772E+00    5.4595E+01    6.1903E+01    2.4181E+01    1.9847E+01    2.1431E+01    8.1305E+01    5.9545E+01    1.9266E+01    5.0826E+00    1.9850E+01    7.7324E+00    1.2213E+01   
 9.9803E+00    5.4604E+01    6.1903E+01    2.4156E+01    1.9876E+01    2.1388E+01    8.1327E+01    5.9545E+01    1.9275E+01    5.1234E+00    1.9870E+01    7.7059E+00    1.2213E+01   
 1.0482E+01    5.4604E+01    6.1909E+01    2.4156E+01    1.9908E+01    2.1302E+01    8.1313E+01    5.9561E+01    1.9298E+01    5.0826E+00    2.0054E+01    7.6161E+00    1.2178E+01   
 1.1085E+01    5.4606E+01    6.1913E+01    2.4089E+01    1.9967E+01    2.1220E+01    8.1318E+01    5.9581E+01    1.9319E+01    5.1030E+00    1.9809E+01    7.6108E+00    1.2213E+01   
 1.1587E+01    5.4606E+01    6.1915E+01    2.4107E+01    1.9968E+01    2.1056E+01    8.1294E+01    5.9598E+01    1.9303E+01    5.1030E+00    1.9850E+01    7.8645E+00    1.2213E+01   
 1.2093E+01    5.4611E+01    6.1923E+01    2.4055E+01    2.0046E+01    2.1056E+01    8.1284E+01    5.9612E+01    1.9361E+01    5.1030E+00    1.9789E+01    7.8328E+00    1.2213E+01   
 1.2596E+01    5.4612E+01    6.1913E+01    2.4055E+01    2.0046E+01    2.0657E+01    8.1253E+01    5.9619E+01    1.9384E+01    5.1234E+00    1.9870E+01    7.5949E+00    1.2195E+01   
 1.3175E+01    5.4616E+01    6.1913E+01    2.4041E+01    2.0155E+01    2.0223E+01    8.1218E+01    5.9619E+01    1.9421E+01    5.1030E+00    1.9932E+01    7.8592E+00    1.2126E+01   
 1.3679E+01    5.4628E+01    6.1924E+01    2.4041E+01    2.0092E+01    1.9907E+01    8.1218E+01    5.9627E+01    1.9466E+01    5.1234E+00    1.9830E+01    7.6954E+00    1.2178E+01   
 1.4181E+01    5.4618E+01    6.1931E+01    2.4042E+01    2.0012E+01    1.9668E+01    8.1202E+01    5.9632E+01    1.9497E+01    5.1030E+00    1.9952E+01    7.7799E+00    1.2161E+01   
 1.4684E+01    5.4618E+01    6.1930E+01    2.4087E+01    2.0071E+01    1.9668E+01    8.1180E+01    5.9627E+01    1.9497E+01    5.1234E+00    2.0074E+01    7.9068E+00    1.2195E+01   
 1.5269E+01    5.4635E+01    6.1938E+01    2.4147E+01    2.0008E+01    1.9451E+01    8.1147E+01    5.9610E+01    1.9491E+01    5.1030E+00    1.9850E+01    7.6161E+00    1.2230E+01   
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Ic (amp)      Qc (l/min)    
 1.5773E+01    5.4627E+01    6.1955E+01    2.4244E+01    2.0008E+01    1.9255E+01    8.1133E+01    5.9623E+01    1.9485E+01    5.1030E+00    1.9952E+01    7.9068E+00    1.2213E+01   
 1.6275E+01    5.4641E+01    6.1955E+01    2.4282E+01    1.9966E+01    1.9068E+01    8.1111E+01    5.9623E+01    1.9504E+01    5.1234E+00    1.9952E+01    7.8169E+00    1.2213E+01   
 1.6777E+01    5.4635E+01    6.1969E+01    2.4282E+01    2.0019E+01    1.8910E+01    8.1111E+01    5.9592E+01    1.9493E+01    5.1030E+00    1.9932E+01    7.6742E+00    1.2230E+01   
 1.7357E+01    5.4624E+01    6.1976E+01    2.4298E+01    2.0066E+01    1.8753E+01    8.1091E+01    5.9563E+01    1.9464E+01    5.1030E+00    2.0013E+01    7.7429E+00    1.2178E+01   
 1.7860E+01    5.4624E+01    6.2001E+01    2.4272E+01    2.0023E+01    1.8600E+01    8.1073E+01    5.9507E+01    1.9464E+01    5.1030E+00    2.0034E+01    7.6319E+00    1.2213E+01   
 1.8362E+01    5.4617E+01    6.2015E+01    2.4265E+01    2.0023E+01    1.8600E+01    8.1063E+01    5.9483E+01    1.9438E+01    5.1030E+00    2.0156E+01    7.8698E+00    1.2230E+01   
 1.8864E+01    5.4637E+01    6.2038E+01    2.4196E+01    2.0010E+01    1.8456E+01    8.1047E+01    5.9439E+01    1.9419E+01    5.0826E+00    2.0136E+01    7.6531E+00    1.2230E+01   
 1.9470E+01    5.4628E+01    6.2024E+01    2.4155E+01    1.9933E+01    1.8319E+01    8.1015E+01    5.9424E+01    1.9349E+01    5.0826E+00    2.0013E+01    7.6372E+00    1.2282E+01   
 1.9974E+01    5.4634E+01    6.2028E+01    2.4174E+01    1.9995E+01    1.8202E+01    8.1015E+01    5.9358E+01    1.9317E+01    5.0826E+00    2.0197E+01    7.7429E+00    1.2178E+01   
 2.0477E+01    5.4630E+01    6.2037E+01    2.4158E+01    1.9940E+01    1.8070E+01    8.0990E+01    5.9324E+01    1.9230E+01    5.0826E+00    2.0217E+01    7.9332E+00    1.2247E+01   
 2.0980E+01    5.4630E+01    6.2066E+01    2.4172E+01    1.9958E+01    1.8070E+01    8.1001E+01    5.9266E+01    1.9230E+01    5.1030E+00    2.0054E+01    7.7482E+00    1.2230E+01   
 2.1574E+01    5.4621E+01    6.2084E+01    2.4257E+01    1.9952E+01    1.7967E+01    8.1041E+01    5.9204E+01    1.9188E+01    5.0826E+00    2.0136E+01    7.8011E+00    1.2230E+01   
 2.2076E+01    5.4632E+01    6.2097E+01    2.4310E+01    1.9952E+01    1.7869E+01    8.1096E+01    5.9137E+01    1.9119E+01    5.1030E+00    2.0013E+01    7.7535E+00    1.2213E+01   
 2.2578E+01    5.4617E+01    6.2082E+01    2.4345E+01    1.9906E+01    1.7764E+01    8.1141E+01    5.9137E+01    1.9078E+01    5.0623E+00    2.0217E+01    7.8804E+00    1.2195E+01   
