# Run number  2 on Mon 2026-05-25T12:05:46 BST
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Ic (amp)      Qc (l/min)    
 3.0254E-01    5.7252E+01    6.4279E+01    2.4074E+01    1.9506E+01    2.1151E+01    8.3744E+01    6.1590E+01    1.8901E+01    5.0419E+00    2.0951E+01    7.8962E+00    1.2161E+01   
 1.0258E+00    5.7252E+01    6.4284E+01    2.4062E+01    1.9561E+01    2.1193E+01    8.3741E+01    6.1614E+01    1.8944E+01    5.0215E+00    2.0992E+01    7.9332E+00    1.2247E+01   
 1.5258E+00    5.7264E+01    6.4291E+01    2.4056E+01    1.9582E+01    2.1235E+01    8.3741E+01    6.1636E+01    1.8977E+01    5.0623E+00    2.1033E+01    8.1658E+00    1.2247E+01   
 2.0261E+00    5.7279E+01    6.4314E+01    2.4072E+01    1.9573E+01    2.1291E+01    8.3762E+01    6.1660E+01    1.8992E+01    5.0826E+00    2.0911E+01    8.0548E+00    1.2230E+01   
 2.5714E+00    5.7283E+01    6.4318E+01    2.4031E+01    1.9702E+01    2.1320E+01    8.3745E+01    6.1699E+01    1.9048E+01    5.0623E+00    2.1033E+01    7.8645E+00    1.2247E+01   
 3.0718E+00    5.7293E+01    6.4325E+01    2.3950E+01    1.9718E+01    2.1320E+01    8.3758E+01    6.1697E+01    1.9067E+01    5.1030E+00    2.1074E+01    8.1182E+00    1.2264E+01   
 3.5720E+00    5.7298E+01    6.4325E+01    2.3978E+01    1.9718E+01    2.1338E+01    8.3803E+01    6.1697E+01    1.9112E+01    5.1030E+00    2.0951E+01    8.1658E+00    1.2230E+01   
 4.0723E+00    5.7303E+01    6.4317E+01    2.3957E+01    1.9670E+01    2.1384E+01    8.3851E+01    6.1719E+01    1.9129E+01    5.1030E+00    2.0931E+01    7.9913E+00    1.2213E+01   
 4.6760E+00    5.7302E+01    6.4325E+01    2.4009E+01    1.9677E+01    2.1392E+01    8.3837E+01    6.1749E+01    1.9145E+01    5.0826E+00    2.1115E+01    8.0548E+00    1.2247E+01   
 5.1765E+00    5.7302E+01    6.4342E+01    2.4009E+01    1.9642E+01    2.1422E+01    8.3857E+01    6.1765E+01    1.9145E+01    5.1030E+00    2.1053E+01    7.9015E+00    1.2213E+01   
 5.6771E+00    5.7279E+01    6.4331E+01    2.4050E+01    1.9678E+01    2.1415E+01    8.3824E+01    6.1731E+01    1.9144E+01    5.1030E+00    2.0931E+01    7.8751E+00    1.2230E+01   
 6.1776E+00    5.7306E+01    6.4340E+01    2.4054E+01    1.9705E+01    2.1415E+01    8.3836E+01    6.1731E+01    1.9160E+01    5.1030E+00    2.0972E+01    8.0389E+00    1.2230E+01   
 6.7722E+00    5.7298E+01    6.4350E+01    2.4072E+01    1.9705E+01    2.1424E+01    8.3833E+01    6.1765E+01    1.9193E+01    5.1030E+00    2.1196E+01    7.8804E+00    1.2264E+01   
 7.2726E+00    5.7300E+01    6.4350E+01    2.4051E+01    1.9774E+01    2.1452E+01    8.3822E+01    6.1763E+01    1.9209E+01    5.1234E+00    2.1115E+01    7.9174E+00    1.2230E+01   
 7.7732E+00    5.7287E+01    6.4370E+01    2.4051E+01    1.9768E+01    2.1488E+01    8.3822E+01    6.1739E+01    1.9209E+01    5.1234E+00    2.1176E+01    7.9702E+00    1.2178E+01   
 8.2737E+00    5.7287E+01    6.4370E+01    2.4051E+01    1.9779E+01    2.1506E+01    8.3805E+01    6.1769E+01    1.9244E+01    5.1030E+00    2.1196E+01    8.1711E+00    1.2230E+01   
 8.8846E+00    5.7321E+01    6.4399E+01    2.4083E+01    1.9708E+01    2.1510E+01    8.3793E+01    6.1789E+01    1.9269E+01    5.1234E+00    2.1237E+01    7.8856E+00    1.2264E+01   
 9.3851E+00    5.7313E+01    6.4404E+01    2.4043E+01    1.9715E+01    2.1510E+01    8.3815E+01    6.1824E+01    1.9308E+01    5.1234E+00    2.1135E+01    7.9279E+00    1.2178E+01   
